variant,n_total,n_labeled,n_unknown,n_success,n_failure,roc_auc_mean,roc_auc_std,accuracy_mean,f1_mean,error
explicit_strict,6413,3188,3225,386,2802,0.8180413220596566,0.020458856666574526,0.7540710521006087,0.42139808103537957,
no_no_code_penalty,6413,738,5675,386,352,0.6813974154618018,0.05509805431163607,0.6504136789851076,0.6903980077893122,
primary,6413,6413,0,3529,2884,0.7991064617723215,0.008788232277521976,0.726336966183246,0.7546744000158082,
signal_only,6413,881,5532,529,352,0.6727686875972818,0.0344022673223949,0.6798985618900872,0.7402915689237245,
strict_positive,6413,3188,3225,304,2884,0.8609017518064987,0.025041360880922438,0.7644247378237525,0.38078557832601034,
